Zipcode,MDFreq,DOFreq,major_city,population,population_density,median_home_value,median_household_income
85353,2,2,Tolleson,31011,1430,121400,50066
85611,0,0,Elgin,965,3,265000,50441
85282,62,20,Tempe,48671,4355,171500,50455
85367,9,2,Yuma,20429,450,125100,50538
85645,0,0,Amado,2231,11,127200,51170
85757,2,0,Tucson,16988,661,120100,51220
86025,0,0,Holbrook,5676,8,84100,51793
85741,130,30,Tucson,32998,3277,157900,51871
85027,100,25,Phoenix,37140,2642,128900,51919
85365,7,3,Yuma,46558,34,119800,51947
85613,1,0,Fort Huachuca,5601,119,NA,52250
85018,95,25,Phoenix,36065,3245,344900,52389
85551,0,0,Solomon,405,8,122800,52431
85354,0,1,Tonopah,6645,11,95000,52442
85735,0,0,Tucson,11250,59,100300,52712
85937,4,1,Snowflake,7638,25,133000,52763
85139,5,0,Maricopa,17979,93,118500,52870
85704,121,36,Tucson,30929,1730,245000,52918
85283,50,11,Tempe,44813,5104,189100,53022
85635,67,25,Sierra Vista,34727,486,167700,53510
85531,0,0,Central,623,149,219800,53523
85615,2,1,Hereford,9413,45,170400,53875
85715,65,11,Tucson,17702,2656,215800,53943
85925,2,0,Eagar,4893,166,156500,54122
85140,27,13,San Tan Valley,36711,1095,127600,54616
85326,6,6,Buckeye,51705,140,119300,54867
86024,0,0,Happy Jack,703,1,255900,55000
85934,0,0,Pinedale,574,10,170100,55083
85653,13,1,Marana,15083,43,124000,55102
86305,31,8,Prescott,17356,14,318500,55120
85209,35,28,Mesa,37377,3377,164100,55136
85939,0,1,Taylor,4400,79,137200,55436
85623,1,1,Oracle,4073,12,152900,55683
85552,0,0,Thatcher,6218,260,156600,55714
86315,0,0,Prescott Valley,7234,119,230400,56148
85328,0,0,Cibola,259,1,80500,56154
85306,172,49,Glendale,24191,4318,148500,56321
85225,24,7,Chandler,69810,5462,163300,56414
85646,0,1,Tubac,1311,10,327700,56836
85264,0,0,Fort Mcdowell,1249,6,197100,56842
85145,0,0,Red Rock,2106,95,125600,57109
85622,3,2,Green Valley,6325,130,236400,57763
85213,4,6,Mesa,31797,3363,172700,57786
85215,16,6,Mesa,15963,193,190500,57845
85143,5,0,San Tan Valley,35015,974,129200,57969
85739,13,3,Tucson,17848,96,296000,58376
85387,1,0,Surprise,9573,176,270100,58416
86004,44,15,Flagstaff,37338,49,259600,58662
85609,0,0,Dragoon,392,3,158300,58750
85250,17,5,Scottsdale,15906,1690,250200,59358
86351,2,1,Sedona,6349,159,421000,60118
86040,12,7,Page,10283,14,150300,60377
